CODIGO_DANE;ID_TIPO_DELITO;ARMA_EMPLEADA;FECHA_HECHO;SEXO;AGRUPA_EDAD_PERSONA
5154;6;carta extorsiva;2011-04-26;hombre;adulto
5686;6;carta extorsiva;2011-08-06;hombre;adulto
5686;6;carta extorsiva;2011-08-16;mujer;adulto
81001;6;carta extorsiva;2011-07-04;mujer;adulto
81001;6;carta extorsiva;2011-07-04;hombre;adulto
81001;6;carta extorsiva;2011-07-08;mujer;adulto
8001;6;carta extorsiva;2011-11-25;hombre;adulto
13442;6;carta extorsiva;2011-04-29;hombre;adulto
15001;6;carta extorsiva;2011-05-11;hombre;adulto
17380;6;carta extorsiva;2011-04-02;hombre;adulto
17614;6;carta extorsiva;2011-08-22;mujer;adulto
85410;6;carta extorsiva;2011-05-12;hombre;adulto
85440;6;carta extorsiva;2011-09-07;hombre;adulto
85001;6;carta extorsiva;2011-03-02;mujer;adulto
85001;6;carta extorsiva;2011-09-21;mujer;adulto
19001;6;carta extorsiva;2011-05-11;hombre;adulto
19809;6;carta extorsiva;2011-05-10;hombre;adulto
20001;6;carta extorsiva;2011-03-24;mujer;adulto
23417;6;carta extorsiva;2011-02-26;mujer;adulto
23555;6;carta extorsiva;2011-05-16;hombre;adulto
23580;6;carta extorsiva;2011-09-11;mujer;adulto
11001;6;carta extorsiva;2011-01-04;hombre;adulto
11001;6;carta extorsiva;2011-01-14;hombre;adulto
11001;6;carta extorsiva;2011-03-29;hombre;adulto
11001;6;carta extorsiva;2011-04-09;hombre;adulto
11001;6;carta extorsiva;2011-04-17;hombre;adulto
11001;6;carta extorsiva;2011-07-22;sin dato;sin dato
11001;6;carta extorsiva;2011-07-29;hombre;adulto
25286;6;carta extorsiva;2011-11-24;hombre;adulto
41306;6;carta extorsiva;2011-09-03;hombre;adulto
41001;6;carta extorsiva;2011-01-26;mujer;adulto
41001;6;carta extorsiva;2011-05-09;hombre;adulto
41001;6;carta extorsiva;2011-10-08;mujer;adulto
47001;6;carta extorsiva;2011-03-27;hombre;adulto
47001;6;carta extorsiva;2011-11-24;hombre;adulto
50001;6;carta extorsiva;2011-04-26;hombre;adulto
50001;6;carta extorsiva;2011-05-29;hombre;adulto
50001;6;carta extorsiva;2011-08-10;hombre;adulto
50001;6;carta extorsiva;2011-10-18;sin dato;sin dato
52001;6;carta extorsiva;2011-11-29;hombre;adulto
52001;6;carta extorsiva;2011-12-02;hombre;adulto
54820;6;carta extorsiva;2011-10-05;hombre;adulto
63594;6;carta extorsiva;2011-10-08;mujer;adulto
63594;6;carta extorsiva;2011-10-08;hombre;adulto
88001;6;carta extorsiva;2011-01-10;mujer;adulto
68081;6;carta extorsiva;2011-06-13;hombre;adulto
68169;6;carta extorsiva;2011-06-16;hombre;adulto
73001;6;carta extorsiva;2011-01-18;hombre;adulto
73001;6;carta extorsiva;2011-01-25;mujer;adulto
73001;6;carta extorsiva;2011-02-08;hombre;adulto
76001;6;carta extorsiva;2011-02-17;hombre;adulto
76001;6;carta extorsiva;2011-04-15;mujer;adulto
76001;6;carta extorsiva;2011-04-26;mujer;adulto
76001;6;carta extorsiva;2011-07-15;hombre;adulto
